obs,PetalLength (cm),PetalWidth (cm)
1,1.4,0.2
2,1.4,0.2
3,1.3,0.2
4,1.5,0.2
5,1.4,0.2
6,1.7,0.4
7,1.4,0.3
8,1.5,
9,1.4,0.2
10,1.5,0.1
11,1.5,0.2
12,1.6,0.2
13,1.4,0.1
14,1.1,0.1
15,1.2,0.2
16,1.5,0.4
17,1.3,0.4
18,1.4,0.3
19,1.7,0.3
20,1.5,0.3
21,1.7,0.2
22,1.5,0.4
23,1,0.2
24,1.7,0.5
25,1.9,0.2
26,1.6,0.2
27,1.6,0.4
28,1.5,0.2
29,1.4,0.2
30,1.6,
31,1.6,0.2
32,1.5,0.4
33,1.5,0.1
34,1.4,0.2
35,1.5,0.2
36,1.2,0.2
37,1.3,0.2
38,1.4,0.1
39,1.3,0.2
40,1.5,0.2
41,,0.3
42,1.3,0.3
43,1.3,0.2
44,1.6,0.6
45,1.9,0.4
46,1.4,0.3
47,1.6,0.2
48,1.4,0.2
49,1.5,0.2
50,1.4,0.2
51,4.7,1.4
52,4.5,1.5
53,4.9,1.5
54,4,1.3
55,4.6,1.5
56,4.5,1.3
57,4.7,1.6
58,3.3,1
59,4.6,1.3
60,3.9,1.4
61,3.5,1
62,4.2,1.5
63,4,1
64,4.7,1.4
65,3.6,1.3
66,4.4,1.4
67,4.5,1.5
68,4.1,1
69,4.5,1.5
70,3.9,1.1
71,4.8,1.8
72,4,1.3
73,4.9,1.5
74,4.7,1.2
75,4.3,1.3
76,4.4,1.4
77,4.8,1.4
78,5,1.7
79,4.5,1.5
80,3.5,1
81,3.8,1.1
82,3.7,1
83,3.9,1.2
84,5.1,1.6
85,4.5,1.5
86,4.5,1.6
87,4.7,1.5
88,4.4,1.3
89,4.1,1.3
90,4,1.3
91,4.4,1.2
92,4.6,1.4
93,4,1.2
94,3.3,1
95,4.2,1.3
96,4.2,1.2
97,4.2,1.3
98,4.3,1.3
99,3,1.1
100,4.1,1.3
101,6,2.5
102,5.1,1.9
103,5.9,2.1
104,5.6,1.8
105,5.8,2.2
106,6.6,2.1
107,4.5,1.7
108,6.3,1.8
109,5.8,1.8
110,6.1,2.5
111,5.1,2
112,5.3,1.9
113,5.5,2.1
114,5,2
115,5.1,2.4
116,5.3,2.3
117,5.5,1.8
118,6.7,2.2
119,6.9,2.3
120,5,1.5
121,5.7,2.3
122,4.9,2
123,6.7,2
124,4.9,1.8
125,5.7,2.1
126,6,1.8
127,4.8,1.8
128,4.9,1.8
129,5.6,2.1
130,5.8,1.6
131,6.1,1.9
132,6.4,2
133,5.6,2.2
134,5.1,1.5
135,5.6,1.4
136,6.1,2.3
137,5.6,2.4
138,5.5,1.8
139,,1.8
140,5.4,2.1
141,5.6,2.4
142,5.1,2.3
143,5.1,1.9
144,5.9,2.3
145,,2.5
146,5.2,2.3
147,5,1.9
148,5.2,2
149,5.4,2.3
150,5.1,1.8
